ID,Title,T+/-,Date,Start Time,End Time,Primary Position,Additional Positions,Categories,Sub Category,Description,Venue Name,Published
12,Record Management,-13,,8:30:00 AM,10:30:00 AM,Front Office,,,,"FSPMS Record Management - The Guest Record Management module will expand on the use of the Guest Record, and outline some processes for Guest Record tasks that occur before and after a guest’s arrival. Topics covered include blocking a guest into a specific room, room moves, cancelling a reservation, extending and adding a rate change, pre-registering a guest, and housekeeping service details.",TBA,Y
13,IT Lab,-13,,10:30:00 AM,12:30:00 PM,Front Office,,,,,TBA,Y
18,Food Safety,-13,,2:00:00 AM,5:00:00 AM,Culinary,"F&B FOH, Event Operations",,,,TBA,Y
19,Meet & Greet & Tour,-13,,8:30:00 AM,10:00:00 AM,Culinary,,Culinary Leadership,,"Front Office Leadership to Meet with Trainer on first day to review progress, training calendar & expectations &nbsp;and tour department area. (Does not have to be exactly at time scheduled)",In Department,Y
20,Test Meal,-13,,4:00:00 AM,5:00:00 AM,Culinary,"F&B FOH, Event Operations","Culinary Leadership, F&B Leaders",,Discussion of Food Show and Test Meals logistics.<br><br>For Culinary & F&B Leaders,In Department,Y
21,Housekeeping - Daily Stand-Up,-12,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
22,Housekeeping Room Staging/Placement Review with Trainer,-12,,8:30:00 AM,11:30:00 AM,Housekeeping,,Housekeeping Leaders,,Work with Housekeeping Leadership on room placement and property readiness check.,In Department,Y
23,Bar Arts: Intro,-12,,9:00:00 AM,12:00:00 PM,Event Operations,F&B FOH,,,,TBA,Y
26,Accounting Day 1,-12,,8:30:00 AM,5:00:00 AM,Accounting/Finance,,,,,TBA,Y
27,Device Training,-12,,1:00:00 AM,3:00:00 AM,Engineering,Housekeeping,,,Training with all associates that will use EMPOWER Devices. **Devices must be configured and set-up prior to this training and all applicable associates are users in EMPOWER.** <br><br>For Housekeeping/Engineering,,Y
28,Banquets,-12,,1:00:00 AM,4:00:00 AM,Event Operations,,,,,,Y
29,Housekeeping - Daily Stand-Up,-11,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
30,Housekeeping Operations & Service Training,-11,,8:30:00 AM,11:00:00 AM,Housekeeping,,,,,TBA,Y
31,Bar Arts: Bar 101,-11,,9:00:00 AM,11:00:00 AM,Event Operations,F&B FOH,,,,TBA,Y
32,Systems Training,-11,,12:00:00 PM,3:00:00 AM,F&B FOH,,,,,In Department,Y
33,Accounting Day 2,-11,,8:30:00 AM,5:00:00 AM,Accounting/Finance,,,,,TBA,Y
34,Housekeeping - Hotel Readiness,-11,,12:00:00 PM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
35,Banquet Zoning/Staging,-11,,12:30:00 PM,5:00:00 AM,Event Operations,,,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up. <br><br>",,Y
37,Front Office - Daily Stand-Up,-10,,8:00:00 AM,8:15:00 AM,Front Office,,,,,In Department,Y
39,IT Lab,-10,,10:30:00 AM,12:30:00 PM,Front Office,,,,,TBA,Y
40,Guest Registration,-10,,8:30:00 AM,10:30:00 AM,Front Office,,,,"FSPMS Guest Registration - This module will review the Guest Reservation/record, field usage, and the check-in process including room selection, updating methods of payment, and accommodating walk-in reservations.",TBA,Y
41,Food Show Prep,-10,,9:00:00 AM,4:30:00 AM,Culinary,,,,,TBA,Y
44,Banquet Room Placement Practice,-10,,9:00:00 AM,12:00:00 PM,Event Operations,,,,,,Y
45,Bar Set up - Prep and Oraganization (Beverage team),-10,,10:00:00 AM,4:00:00 AM,F&B FOH,,,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",TBA,Y
46,Service Training,-10,,1:00:00 AM,3:00:00 AM,Front Office,,,,,TBA,Y
47,Front Office - Daily Stand-Up,-9,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
49,Guest Accounting,-9,,8:30:00 AM,10:30:00 AM,Front Office,,,,"FSPMS Guest Accounting - The module will review the guest accounting options of FSPMS including posting credits, posting charges, adjusting charges, correcting charges, transferring charges, tracking checks cashed for a guest, checking-out an account,viewing folio detail, batch posting charges",TBA,Y
50,Food Show,-9,,1:00:00 AM,4:00:00 AM,Culinary,"F&B FOH, Front Office, Event Operations",,,"The Culinary Food Show has a few purposes:
Supports the education of the front of the house associates. 
Teaches menu knowledge, storytelling and product identification. As a result the team should be able to speak to the menu, identify local/regional items, knowledgably speak to ingredients associated to food allergens, speak passionately towards house crafted items and highlight components of unique signature dishes.
Aids in assisting the culinary team with finalizing recipes, cooking techniques, plate presentation and organization of the line.
Open and operating hotel retraining for of both front and back of the house associates to make sure all are aligned with the same vision.",In Department,Y
51,Bar Set up - Prep and Oraganization (Beverage team),-9,,10:00:00 AM,12:00:00 PM,F&B FOH,,,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",TBA,Y
52,IT Lab,-9,,10:30:00 AM,12:30:00 PM,Front Office,,,,,TBA,Y
53,Banquets Test Buffet-Breakfast 1,-8,,1:00:00 AM,3:00:00 AM,Culinary,Event Operations,,,,TBA,Y
54,Housekeeping - Daily Stand-Up,-8,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
55,EcoLab Training For Kitchen,-8,,10:00:00 AM,11:30:00 AM,Culinary,,,,Property led. Date and Time dependent on scheduling.,TBA,Y
57,Getting to know your area - Local Concierge Presentation,-8,,3:00:00 AM,5:00:00 AM,Front Office,,Club,,Property lead training. The hotel is encouraged to invite a person/company from the local area (or Concierge Team) to talk about the local area.,TBA,Y
60,Systems for Housekeeping,-8,,1:30:00 AM,4:30:00 AM,Housekeeping,,Housekeeping Leaders,,,TBA,Y
61,Housekeeping - Check-Out/Stay-Over Training,-8,,8:30:00 AM,11:00:00 AM,Housekeeping,,,,,In Department,Y
62,Restaurant Zoning,-8,,1:30:00 AM,5:00:00 AM,F&B FOH,,,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",TBA,Y
63,Final Review Test Meals with FOH,-8,,2:00:00 AM,3:00:00 AM,Culinary,F&B FOH,"Culinary Leadership, F&B Leaders",,Insure all items are on property for Test Meal execution,TBA,Y
64,Cocktail Training - Beverage Team,-8,,1:30:00 AM,5:00:00 AM,Event Operators,F&B FOH,,,If bartenders do not have to attend TIPS training this morning then they will come in at 10am and execute cocktails all day. (10am-5pm)<br><br>,TBA,Y
66,Front Office - Daily Stand-Up,-8,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
68,Housekeeping - Hotel Readiness,-8,,11:00:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
70,Front Office - Daily Stand-Up,-7,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
71,Housekeeping - Daily Stand-Up,-7,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
72,Housekeeping Vendor Training (TBD),-7,,9:00:00 AM,2:00:00 AM,Housekeeping,,,,"Property led. Date and Time dependent on Vendors. Vendors could be chemical training, vacuums/equipment, or any other vendors the hotel uses.",TBA,Y
73,Banquets Test Breakfast Buffet #2,-7,,10:00:00 AM,12:00:00 PM,Culinary,Event Operations,,,,TBA,Y
74,Hotel Tour- Rooms Review Front Office,-7,,12:30:00 PM,1:30:00 AM,Front Office,,,,,In Department,Y
75,IRD Zoning and Staging,-7,,8:00:00 AM,4:00:00 AM,F&B FOH,,IRD,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",In Department,Y
78,F&B Loyalty Training,-7,,9:00:00 AM,10:00:00 AM,Event Operations,"F&B FOH, Event Operations","Club, IRD",,"Overview of Marriott Bonvoy and the importance of loyalty.<br><br>For all F&B, Banquets, and M Club",TBA,Y
79,Test Meal Prep,-7,,8:00:00 AM,5:00:00 AM,Culinary,F&B FOH,,,,TBA,Y
80,Beverage Training - Cocktail Execution (beverage team),-7,,10:00:00 AM,5:00:00 AM,Event Operations,F&B FOH,,,,TBA,Y
82,Club Zoning and Staging,-7,,8:00:00 AM,4:00:00 AM,F&B FOH,,Club,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",In Department,Y
83,Operations Role Play/Concierge Training,-6,,3:00:00 AM,5:00:00 AM,Front Office,,"Front Desk,AYS,Concierge",,,TBA,Y
85,Club Zoning and Staging Continued,-6,,8:00:00 AM,4:00:00 AM,F&B FOH,,Club,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",In Department,Y
86,Management Meeting,-6,,1:30:00 AM,5:00:00 AM,Front Office,,Front Office Leadership,,,TBA,Y
87,Restaurant Test Meal Breakfast #1,-6,,9:00:00 AM,12:00:00 PM,Culinary,F&B FOH,,,,In Department,Y
88,Restaurant Test Meal Lunch # 1,-6,,1:00:00 AM,4:00:00 AM,Culinary,F&B FOH,,,,In Department,Y
90,Front Desk Readiness,-6,,8:30:00 AM,11:30:00 AM,Front Office,,,,Prepare space for hotel opening,,Y
91,Front Office - Daily Stand-Up,-6,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
92,IRD Zoning and Staging Continued,-6,,8:00:00 AM,4:00:00 AM,F&B FOH,,IRD,,"Trainer and property led. This time is to prepare the work space for an open hotel. This can include:<br>Cleaning, Organizing, and Set-up.<br><br>",In Department,Y
94,Housekeeping - Daily Stand-Up,-5,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
95,IRD Test Meal Breakfast #1,-5,,10:00:00 AM,12:00:00 PM,Culinary,,IRD,,,In Department,Y
96,IRD Test Meal Lunch/Dinner #1,-5,,1:00:00 AM,3:00:00 AM,Culinary,,IRD,,,In Department,Y
99,Banquet Test Meal- Plated Dinner,-5,,10:00:00 AM,12:00:00 PM,Culinary,Event Operations,,,,TBA,Y
100,Banquet Test Meal coffee Break,-5,,3:00:00 AM,4:30:00 AM,Event Operations,,,,,TBA,Y
102,Restaurant Test Meal Dinner # 1,-5,,1:00:00 AM,3:00:00 AM,Culinary,F&B FOH,,,,In Department,Y
103,Breakfast Buffet Dry Set Restaurant,-5,,11:00:00 AM,12:00:00 PM,Culinary,Event Operations,,,,In Department,Y
104,Housekeeping - Hotel Readiness,-5,,8:30:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
106,Restaurant Test Meal Dinner # 2,-4,,1:00:00 AM,3:00:00 AM,Culinary,F&B FOH,,,,In Department,Y
107,Restaurant Test Meal Breakfast #2,-4,,10:00:00 AM,12:00:00 PM,Culinary,F&B FOH,,,,In Department,Y
108,Housekeeping - Hotel Readiness,-4,,8:30:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
109,"Housekeeping Leadership Training - GuestVoice, EMPOWER, MGS",-4,,8:30:00 AM,10:00:00 AM,Housekeeping,,Housekeeping Leaders,,,,Y
110,Housekeeping - Daily Stand-Up,-4,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
111,IRD Test Meal Breakfast #2,-4,,10:00:00 AM,12:00:00 PM,Culinary,F&B FOH,IRD,,,In Department,Y
112,Banquets Test- Dinner Buffet,-4,,12:00:00 PM,2:00:00 AM,Culinary,Event Operations,,,,TBA,Y
113,Club PM Test Meal/ Evening Snack #1,-3,,2:00:00 AM,4:00:00 AM,Culinary,F&B FOH,Club,,,In Department,Y
114,Club - Evening Snack PM Test Meal #1,-3,,2:00:00 AM,4:00:00 AM,F&B FOH,,Club,,,TBA,Y
115,Club Afternoon Test Meal,-3,,11:00:00 AM,12:00:00 PM,Culinary,F&B FOH,Club,,,In Department,Y
116,Front Office - Daily Stand-Up,-3,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
117,Restaurant Test Meal Lunch #2,-3,,1:00:00 AM,3:00:00 AM,Culinary,F&B FOH,,,,In Department,Y
118,IRD Test Meal Lunch/Dinner 2,-3,,1:00:00 AM,3:00:00 AM,Culinary,F&B FOH,IRD,,,In Department,Y
119,Club Am Test Meal,-3,,10:00:00 AM,11:00:00 AM,Culinary,F&B FOH,Club,,,In Department,Y
120,Banquets Buffet All Hotel Lunch,-3,,12:00:00 PM,2:00:00 AM,Culinary,Event Operations,,,,TBA,Y
121,Front Office Vendor Training (TBD),-3,,9:00:00 AM,12:00:00 PM,Front Office,,,,"Property Led. For training with any outside vendors (phone, keys, ect.)<br>Date and Time dependent on schedules.",,Y
122,Housekeeping - Daily Stand-Up,-3,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
123,Housekeeping - Hotel Readiness,-3,,8:30:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
124,Mobile Check In,-3,,1:00:00 AM,3:00:00 AM,Front Office,,,,,TBA,Y
128,Front Office - Daily Stand-Up,-2,,8:00:00 AM,8:30:00 AM,Front Office,,,,,In Department,Y
129,Club Afternoon Snack #2,-2,,11:00:00 AM,12:00:00 PM,Culinary,F&B FOH,Club,,,In Department,Y
130,Club PM Test Meal #2,-2,,2:00:00 AM,3:00:00 AM,Culinary,F&B FOH,Club,,,In Department,Y
131,Club AM Test Meal #2,-2,,10:00:00 AM,11:00:00 AM,Culinary,F&B FOH,Club,,,In Department,Y
132,Housekeeping - Daily Stand-Up,-2,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
133,Housekeeping - Hotel Readiness,-2,,8:30:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
134,Front Desk Readiness,-2,,8:30:00 AM,4:00:00 AM,Front Office,,,,Ensure all work space is hotel opening ready.,,Y
135,Banquets Reception,-2,,12:00:00 PM,2:00:00 AM,Culinary,Event Operations,,,,,Y
136,Club PM Test Meal #2,-2,,2:00:00 AM,4:00:00 AM,Culinary,F&B FOH,Club,,,In Department,Y
138,Cash Handling Training (Group A) - Property led,-1,,9:00:00 AM,9:45:00 AM,Event Operations,F&B FOH,,,,TBA,Y
139,Cash Handling Training (Group B) - Property led,-1,,10:00:00 AM,10:45:00 AM,Front Office,,,,,TBA,Y
140,Housekeeping - Hotel Readiness,-1,,8:30:00 AM,4:00:00 AM,Housekeeping,,,,"Dependent on Hotel needs and leadership led. Areas of focus would be:<br>Organize Storage/Linen Closets<br>Housekeeping Cart Set-up<br>Public Space Clean Up and Readiness (Pool, Fitness Center, ect)<br>Elevator and Hallway Deep Cleaning<br>Room Placement and Readiness",In Department,Y
141,Housekeeping - Daily Stand-Up,-1,,8:00:00 AM,8:30:00 AM,Housekeeping,,,,,In Department,Y
142,Opening Day,0,,1:00:00 AM,5:00:00 AM,All Team,,,,,In Department,Y
143,Opening Celebration,0,,10:00:00 AM,1:00:00 AM,All Team,,,,Property led. Dependent on property can be done the morning of opening day or the afternoon prior.,TBA,Y
144,MARSHA Inventory Balancing,1,,8:30:00 AM,12:30:00 PM,Group Housing,,,,,TBA,Y
145,System Admin Meeting,1,,1:30:00 AM,4:00:00 AM,Front Office,,Front Office Leadership,,,TBA,Y
